session_id,user_id,channel,device,country,session_date,pages_viewed,converted
sess_0001,user_312,paid_search,desktop,AU,22-03-2024,4,0
sess_0002,user_613,social,tablet,UK,15-01-2024,1,0
sess_0003,user_235,organic,mobile,US,04-01-2024,1,0
sess_0004,user_591,direct,desktop,UK,05-02-2024,3,0
sess_0005,user_186,organic,desktop,UK,01-02-2024,3,0
sess_0006,user_357,direct,mobile,SG,29-01-2024,4,0
sess_0007,user_508,paid_search,mobile,US,18-01-2024,4,0
sess_0008,user_091,organic,tablet,SG,14-01-2024,4,0
sess_0009,user_002,organic,mobile,AU,27-03-2024,5,0
sess_0010,user_638,social,mobile,US,10-03-2024,3,0
sess_0011,user_135,social,desktop,DE,12-01-2024,5,0
sess_0012,user_246,direct,mobile,DE,16-03-2024,5,0
sess_0013,user_117,social,mobile,US,24-02-2024,2,0
sess_0014,user_522,paid_search,mobile,SG,05-01-2024,3,0
sess_0015,user_565,social,mobile,UK,04-01-2024,4,0
sess_0016,user_072,organic,mobile,UK,12-01-2024,2,0
sess_0017,user_274,organic,desktop,US,28-01-2024,5,0
sess_0018,user_153,email,mobile,US,30-01-2024,4,0
sess_0019,user_467,paid_search,mobile,US,05-03-2024,4,0
sess_0020,user_240,direct,desktop,AU,18-03-2024,4,0
sess_0021,user_396,email,mobile,US,04-01-2024,4,0
sess_0022,user_130,direct,desktop,DE,12-03-2024,1,0
sess_0023,user_103,paid_search,desktop,SG,26-01-2024,4,0
sess_0024,user_077,paid_search,mobile,DE,24-03-2024,2,0
sess_0025,user_337,paid_search,tablet,US,30-03-2024,1,0
sess_0026,user_555,email,desktop,US,10-03-2024,4,0
sess_0027,user_093,organic,mobile,UK,23-02-2024,2,0
sess_0028,user_171,paid_search,mobile,UK,29-01-2024,4,0
sess_0029,user_368,social,tablet,US,27-02-2024,3,0
sess_0030,user_175,paid_search,mobile,UK,16-03-2024,2,0
sess_0031,user_598,organic,desktop,US,05-02-2024,4,0
sess_0032,user_477,organic,mobile,US,01-01-2024,1,0
sess_0033,user_602,direct,desktop,US,21-01-2024,3,0
sess_0034,user_204,organic,tablet,DE,30-03-2024,3,0
sess_0035,user_589,direct,desktop,US,24-02-2024,3,0
sess_0036,user_282,organic,desktop,US,13-02-2024,4,0
sess_0037,user_509,organic,desktop,DE,05-02-2024,5,0
sess_0038,user_225,email,tablet,DE,20-01-2024,3,0
sess_0039,user_644,social,desktop,DE,28-01-2024,2,0
sess_0040,user_594,organic,desktop,US,13-02-2024,1,0
sess_0041,user_180,paid_search,mobile,SG,14-01-2024,4,0
sess_0042,user_280,organic,desktop,SG,12-01-2024,5,0
sess_0043,user_347,email,mobile,SG,18-02-2024,3,0
sess_0044,user_693,email,mobile,US,13-01-2024,2,0
sess_0045,user_093,social,tablet,AU,15-02-2024,3,0
sess_0046,user_599,social,mobile,UK,14-02-2024,3,0
sess_0047,user_026,paid_search,desktop,US,18-03-2024,4,0
sess_0048,user_651,social,tablet,US,03-02-2024,1,0
sess_0049,user_047,email,tablet,US,06-01-2024,2,0
sess_0050,user_139,direct,mobile,UK,28-02-2024,5,0
sess_0051,user_430,paid_search,mobile,AU,09-03-2024,5,0
sess_0052,user_631,paid_search,desktop,SG,16-01-2024,4,0
sess_0053,user_456,paid_search,tablet,US,18-02-2024,4,0
sess_0054,user_661,direct,desktop,US,11-01-2024,5,0
sess_0055,user_094,paid_search,mobile,US,11-03-2024,4,0
sess_0056,user_250,social,desktop,UK,07-02-2024,8,1
sess_0057,user_213,direct,desktop,US,21-03-2024,5,0
sess_0058,user_003,paid_search,desktop,US,20-03-2024,5,0
sess_0059,user_113,organic,tablet,AU,16-02-2024,2,0
sess_0060,user_603,social,mobile,US,14-03-2024,2,0
sess_0061,user_117,organic,mobile,US,25-01-2024,5,0
sess_0062,user_463,social,mobile,DE,09-01-2024,1,0
sess_0063,user_309,paid_search,tablet,US,06-01-2024,5,0
sess_0064,user_437,paid_search,tablet,US,25-03-2024,4,0
sess_0065,user_330,social,mobile,SG,30-01-2024,1,0
sess_0066,user_333,social,mobile,US,07-02-2024,5,0
sess_0067,user_102,paid_search,desktop,US,11-01-2024,4,0
sess_0068,user_221,social,mobile,DE,30-01-2024,5,0
sess_0069,user_426,paid_search,desktop,US,13-01-2024,4,0
sess_0070,user_486,social,mobile,US,18-02-2024,2,0
sess_0071,user_134,organic,desktop,US,05-02-2024,3,0
sess_0072,user_421,paid_search,desktop,UK,28-02-2024,1,0
sess_0073,user_295,paid_search,desktop,DE,22-03-2024,1,0
sess_0074,user_230,social,mobile,UK,16-02-2024,4,0
sess_0075,user_588,email,mobile,UK,21-01-2024,3,0
sess_0076,user_629,organic,mobile,UK,17-02-2024,5,0
sess_0077,user_030,social,desktop,UK,15-02-2024,3,0
sess_0078,user_186,organic,desktop,US,27-01-2024,1,0
sess_0079,user_094,email,desktop,US,26-03-2024,1,0
sess_0080,user_320,social,mobile,US,04-02-2024,3,0
sess_0081,user_160,social,desktop,UK,30-03-2024,1,0
sess_0082,user_498,organic,desktop,DE,28-03-2024,4,0
sess_0083,user_441,social,mobile,US,23-03-2024,3,0
sess_0084,user_047,organic,desktop,UK,10-01-2024,3,0
sess_0085,user_141,organic,tablet,US,18-03-2024,2,0
sess_0086,user_180,social,mobile,US,22-03-2024,4,0
sess_0087,user_074,organic,mobile,US,22-01-2024,3,0
sess_0088,user_321,paid_search,desktop,US,09-03-2024,1,0
sess_0089,user_415,paid_search,desktop,DE,01-02-2024,1,0
sess_0090,user_091,organic,mobile,SG,21-01-2024,3,0
sess_0091,user_406,paid_search,mobile,US,29-02-2024,1,0
sess_0092,user_523,email,desktop,US,18-02-2024,1,0
sess_0093,user_661,social,mobile,US,04-02-2024,3,0
sess_0094,user_157,email,mobile,US,22-03-2024,5,0
sess_0095,user_476,social,desktop,US,29-03-2024,4,0
sess_0096,user_659,social,desktop,US,12-03-2024,5,0
sess_0097,user_451,social,desktop,SG,29-01-2024,2,0
sess_0098,user_361,organic,mobile,US,28-03-2024,1,0
