order_id,session_id,user_id,product_id,quantity,revenue,order_date
ord_0001,sess_0056,user_250,1,1,109.95,07-02-2024
ord_0002,sess_0099,user_079,20,1,12.99,11-02-2024
ord_0003,sess_0101,user_668,11,1,109,30-01-2024
ord_0004,sess_0103,user_041,1,1,109.95,10-02-2024
ord_0005,sess_0133,user_354,6,1,168,07-01-2024
ord_0006,sess_0137,user_528,4,2,31.98,21-01-2024
ord_0007,sess_0138,user_293,14,1,999.99,28-03-2024
ord_0008,sess_0186,user_690,18,1,9.85,09-02-2024
ord_0009,sess_0206,user_508,18,1,9.85,28-01-2024
ord_0010,sess_0265,user_661,5,3,2085,13-01-2024
ord_0011,sess_0298,user_303,3,1,55.99,22-01-2024
ord_0012,sess_0337,user_240,15,1,56.99,13-03-2024
ord_0013,sess_0339,user_124,10,3,327,15-03-2024
ord_0014,sess_0364,user_484,6,1,168,02-01-2024
ord_0015,sess_0386,user_144,15,1,56.99,08-03-2024
ord_0016,sess_0390,user_052,7,1,9.99,08-02-2024
ord_0017,sess_0398,user_543,15,2,113.98,20-01-2024
ord_0018,sess_0404,user_225,8,1,10.99,27-01-2024
ord_0019,sess_0424,user_563,9,2,128,11-03-2024
ord_0020,sess_0433,user_530,18,1,9.85,05-01-2024
ord_0021,sess_0444,user_319,14,2,1999.98,15-02-2024
ord_0022,sess_0450,user_370,5,1,695,15-02-2024
ord_0023,sess_0459,user_575,3,1,55.99,04-01-2024
ord_0024,sess_0483,user_548,4,1,15.99,12-02-2024
ord_0025,sess_0502,user_671,19,1,7.95,17-03-2024
ord_0026,sess_0506,user_518,6,1,168,25-02-2024
ord_0027,sess_0507,user_329,11,1,109,18-03-2024
ord_0028,sess_0539,user_570,6,1,168,07-02-2024
ord_0029,sess_0540,user_159,13,1,599,11-03-2024
ord_0030,sess_0553,user_039,15,1,56.99,01-01-2024
ord_0031,sess_0561,user_404,2,3,66.9,11-02-2024
ord_0032,sess_0574,user_557,13,1,599,25-03-2024
ord_0033,sess_0589,user_607,17,1,39.99,19-03-2024
ord_0034,sess_0603,user_592,11,1,109,29-03-2024
ord_0035,sess_0671,user_155,11,1,109,03-01-2024
ord_0036,sess_0683,user_550,11,1,109,29-01-2024
ord_0037,sess_0695,user_672,8,1,10.99,22-01-2024
ord_0038,sess_0730,user_062,3,2,111.98,29-01-2024
ord_0039,sess_0731,user_069,4,1,15.99,24-03-2024
ord_0040,sess_0735,user_313,16,3,89.85,04-01-2024
ord_0041,sess_0755,user_463,15,1,56.99,15-01-2024
ord_0042,sess_0777,user_645,13,1,599,16-01-2024
ord_0043,sess_0788,user_307,5,1,695,13-02-2024
ord_0044,sess_0789,user_340,13,3,1797,02-01-2024
ord_0045,sess_0794,user_095,13,1,599,16-02-2024
ord_0046,sess_0825,user_368,8,1,10.99,24-01-2024
ord_0047,sess_0834,user_582,12,1,114,05-02-2024
ord_0048,sess_0840,user_312,17,2,79.98,31-01-2024
ord_0049,sess_0867,user_681,8,1,10.99,12-02-2024
ord_0050,sess_0878,user_217,3,1,55.99,16-01-2024
ord_0051,sess_0916,user_544,1,1,109.95,13-02-2024
ord_0052,sess_0954,user_600,7,1,9.99,19-03-2024
ord_0053,sess_0955,user_158,12,2,228,13-01-2024
ord_0054,sess_0957,user_505,12,1,114,21-03-2024
ord_0055,sess_0971,user_228,18,1,9.85,29-03-2024
